office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
SENATOR JOE MANCHIN,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,207,TRAVEL AND TRANSPORTATION OF PERSONS,210,30417.54,30417.54,ok,segment
SENATOR JOE MANCHIN,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,207,OTHER CONTRACTUAL SERVICES,210,53803.8,53803.8,ok,segment
SENATOR JOE MANCHIN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,212,PERSONNEL COMP. FULL-TIME PERMANENT,213,1160985.3,1160985.3,ok,segment
SENATOR JOE MANCHIN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,212,PERSONNEL BENEFITS,213,1130.05,0.0,no_records,segment
SENATOR JOE MANCHIN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,212,NET PAYROLL EXPENSES,213,1162115.35,1160985.3,fail,block_running_total
SENATOR JOE MANCHIN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,212,TRAVEL AND TRANSPORTATION OF PERSONS,218,25729.44,25729.44,ok,segment
SENATOR JOE MANCHIN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,212,OTHER CONTRACTUAL SERVICES,218,1054.1,1054.1,ok,segment
INTERN COMPENSATION - MANCHIN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,219,PERSONNEL COMP. FULL-TIME PERMANENT,219,6000.0,6000.0,ok,segment
INTERN COMPENSATION - MANCHIN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,219,NET PAYROLL EXPENSES,219,6000.0,6000.0,ok,block_running_total
SENATOR EDWARD MARKEY,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,220,TRAVEL AND TRANSPORTATION OF PERSONS,220,109.8,109.8,ok,segment
SENATOR EDWARD MARKEY,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,220,OTHER CONTRACTUAL SERVICES,220,210.0,210.0,ok,segment
SENATOR EDWARD MARKEY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,222,PERSONNEL BENEFITS,222,270.0,0.0,no_records,segment
SENATOR EDWARD MARKEY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,222,NET PAYROLL EXPENSES,222,270.0,0.0,no_records,block_running_total
