office,funding_year,start_page,status,record_count,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
INTERN COMPENSATION - CANTWELL,2026,688,ok,10,10,36197.72,0.0,0,0
MEMBER PROTECTION - CANTWELL,2026,689,ok,0,0,0.0,0.0,0,0
SENATOR SHELLEY MOORE CAPITO,2024,690,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - CAPITO,2024,691,ok,0,0,0.0,0.0,0,0
SENATOR SHELLEY MOORE CAPITO,2025,692,ok,46,46,17286.67,0.0,0,0
INTERN COMPENSATION - CAPITO,2025,695,ok,0,0,0.0,0.0,0,0
SENATOR SHELLEY MOORE CAPITO,2026,696,ok,196,196,1610095.56,0.0,0,0
INTERN COMPENSATION - CAPITO,2026,704,ok,11,11,55383.26,0.0,0,0
MEMBER PROTECTION - CAPITO,2026,705,ok,0,0,0.0,0.0,0,0
SENATOR BENJAMIN L. CARDIN,2024,706,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - CARDIN,2024,707,ok,0,0,0.0,0.0,0,0
SENATOR BENJAMIN L. CARDIN,2025,708,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - CARDIN,2025,709,ok,0,0,0.0,0.0,0,0
SENATOR THOMAS R. CARPER,2024,710,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - CARPER,2024,711,ok,0,0,0.0,0.0,0,0
SENATOR THOMAS R. CARPER,2025,712,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - CARPER,2025,713,ok,0,0,0.0,0.0,0,0
SENATOR ROBERT CASEY,2024,714,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - CASEY,2024,715,ok,0,0,0.0,0.0,0,0
SENATOR ROBERT CASEY,2025,716,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - CASEY,2025,717,ok,0,0,0.0,0.0,0,0
SENATOR BILL CASSIDY,2024,718,ok,1,1,33.8,0.0,0,0
INTERN COMPENSATION - CASSIDY,2024,719,ok,0,0,0.0,0.0,0,0
SENATOR BILL CASSIDY,2025,720,ok,111,111,45714.54,0.0,0,0
INTERN COMPENSATION - CASSIDY,2025,725,ok,0,0,0.0,0.0,0,0
SENATOR BILL CASSIDY,2026,726,ok,259,259,1886630.28,0.0,0,0
INTERN COMPENSATION - CASSIDY,2026,736,ok,2,2,899.98,0.0,0,0
MEMBER PROTECTION - CASSIDY,2026,737,ok,0,0,0.0,0.0,0,0
SENATOR SUSAN M. COLLINS,2024,738,ok,13,13,520.0,0.0,0,0
INTERN COMPENSATION - COLLINS,2024,739,ok,0,0,0.0,0.0,0,0
SENATOR SUSAN M. COLLINS,2025,740,ok,194,194,35087.58,0.0,0,0
INTERN COMPENSATION - COLLINS,2025,747,ok,0,0,0.0,0.0,0,0
SENATOR SUSAN M. COLLINS,2026,748,ok,351,351,1803961.64,0.0,0,0
INTERN COMPENSATION - COLLINS,2026,760,ok,2,2,6056.07,0.0,0,0
MEMBER PROTECTION - COLLINS,2026,761,ok,0,0,0.0,0.0,0,0
SENATOR CHRISTOPHER A. COONS,2024,762,ok,1,1,137.0,0.0,0,0
INTERN COMPENSATION - COONS,2024,763,ok,0,0,0.0,0.0,0,0
SENATOR CHRISTOPHER A. COONS,2025,764,ok,90,90,42921.11,0.0,0,0
INTERN COMPENSATION - COONS,2025,768,ok,0,0,0.0,0.0,0,0
SENATOR CHRISTOPHER A. COONS,2026,769,ok,286,286,2111889.21,0.0,0,0
INTERN COMPENSATION - COONS,2026,779,ok,10,10,30567.53,0.0,0,0
MEMBER PROTECTION - COONS,2026,780,ok,0,0,0.0,0.0,0,0
SENATOR JOHN CORNYN,2024,781,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - CORNYN,2024,782,ok,0,0,0.0,0.0,0,0
SENATOR JOHN CORNYN,2025,783,ok,122,122,88273.25,0.0,0,0
INTERN COMPENSATION - CORNYN,2025,788,ok,0,0,0.0,0.0,0,0
SENATOR JOHN CORNYN,2026,789,ok,185,185,2673126.89,0.0,0,0
INTERN COMPENSATION - CORNYN,2026,796,ok,12,12,33100.0,0.0,0,0
MEMBER PROTECTION - CORNYN,2026,797,ok,0,0,0.0,0.0,0,0
SENATOR CATHERINE CORTEZ MASTO,2024,798,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - CORTEZ MASTO,2024,799,ok,0,0,0.0,0.0,0,0
